From*, To*, Rate, 
1, 7, 0.0532544378698225, 
2, 4, 0.00404807908291512, 
2, 6, 0.000281994459295072, 
2, 7, 3.11166299911804e-05, 
2, 9, 0.0339180990850738, 
2, 11, 0.000881961981312519, 
4, 2, 0.00155453132244252, 
4, 6, 9.54536776938392e-05, 
4, 7, 0.000204543595058227, 
6, 2, 0.00104275286757039, 
6, 4, 0.000419809596034831, 
6, 7, 0.043077881451187, 
6, 9, 0.000798992456969516, 
6, 11, 0.000866703682136425, 
6, 14, 0.00112400633777068, 
7, 2, 0.00048154676455089, 
7, 4, 9.99436681143356e-05, 
7, 6, 0.0166179062710109, 
7, 9, 0.000699605676800349, 
7, 14, 1.81715760207883e-05, 
9, 2, 0.0891629743587812, 
9, 4, 0.0019361313902975, 
9, 6, 0.000200730992224969, 
9, 7, 3.38945390248541e-05, 
9, 11, 0.000261364556480542, 
9, 17, 3.76605989165046e-07, 
11, 2, 0.0187626172663579, 
11, 4, 0.00760004750029688, 
11, 6, 0.00320627003918774, 
11, 7, 0.00106875667972925, 
11, 9, 0.029093931837074, 
11, 14, 0.00926255789098682, 
14, 6, 0.00650916104146577, 
14, 7, 0.0122950819672131, 
