From*,To*,Mean_Patch_Size,Patch_Size_Variance,Patch_Isometry
2,4,15.033054410724,4446.12633495228,2
2,9,7.70903989074608,2131.37404275048,2
7,2,3.66754990284402,508.961994273745,2
7,4,2.34150326797386,4.37601990687342,2
7,9,1.524545171604,14.1412633808134,2
9,2,19.3980510039687,14354.3295208819,2
9,4,19.2170841361593,6857.26152957636,2
11,2,6.25,140.126543209877,2
11,4,0.47443291041907,0.506525582166738,2
11,9,9.17283950617284,336.259602194787,2
14,2,2.91111111111111,5.06391985988295,2
14,4,13.6956115779645,398.465872914162,2
