"From*","To*","Percent"
2,4,0.567889811240945
2,9,0.98410488831337
7,2,0.987465181058496
7,4,0.491039426523298
7,9,0.941076870978666
9,2,0.720337528800459
9,4,0.570910083231
11,2,0.48502994011976
11,4,0.397849462365591
11,9,1
14,2,1
14,4,0.874269005847953
17,9,1
