From*,To*,Mean_Patch_Size,Patch_Size_Variance,Patch_Isometry
2,4,200,100,2
6,2,200,100,1
6,4,200,100,1
7,2,200,100,1
7,4,200,100,1
9,2,800,600,2
9,4,200,100,2
11,2,200,100,1
11,4,200,100,1
14,2,200,100,1
14,4,200,100,1
