From*, To*, Mean_Patch_Size, Patch_Size_Variance, Patch_Isometry, 
1, 2, 0, 0.0001, 0, 
1, 3, 0, 0.0001, 0, 
1, 4, 0, 0.0001, 0, 
2, 1, 200, 100, 2, 
2, 3, 0, 0.0001, 1, 
2, 4, 0, 0.0001, 0, 
3, 1, 200, 100, 2, 
3, 2, 500, 450, 2, 
3, 4, 0, 0.0001, 0, 
4, 1, 0, 1, 0, 
4, 2, 0, 1, 0, 
4, 3, 0, 1, 0, 
